TE_ORF,M(0) = 0 lnL,M(0) = 1 lnL,LRT
17.6_ENV,-3923.174402,-3832.803056,180.742692
297_ENV,-7318.440411,-6936.08555,764.709722
accord_ENV,-8250.262299,-7935.861788,628.801022
Burdock_ENV,-19613.81923,-18180.41082,2866.816828
chouto_ENV,-10081.32502,-9489.469036,1183.711964
gtwin_ENV,-25218.37531,-23119.64001,4197.470592
gypsy10_ENV,-6157.154113,-5852.594431,609.119364
gypsy2_ENV,-3323.662782,-3185.131846,277.061872
gypsy4_ENV,-27947.10519,-25975.87207,3942.466226
gypsy5_ENV,-24631.1973,-23285.56456,2691.265466
gypsy6_ENV,-24174.95766,-22500.51978,3348.875768
HMS-Beagle_ENV,-35408.90682,-33047.06834,4723.676962
HMS-Beagle2_ENV,-29498.81195,-27602.21278,3793.198332
Idefix_ENV,-25383.47931,-22628.87623,5509.206162
Quasimodo_ENV,-36984.3315,-32797.01659,8374.629812
rover_ENV,-7022.466973,-6544.43259,956.068766
Shellder_ENV,-6808.669859,-6411.599126,794.141466
springer_ENV,-16533.2268,-15305.58002,2455.293558
Tirant_ENV,-7882.710984,-7437.711187,889.999594
ZAM_ENV,-6890.416372,-6625.176344,530.480056
297_POL,-19091.52265,-17406.09273,3370.859836
Circe_POL,-163610.0317,-144555.0817,38109.90009
gypsy10_POL,-15923.83405,-14537.3921,2772.883902
gypsy2_POL,-15100.63976,-13713.15839,2774.96275
gypsy7_POL,-8697.574509,-8080.632831,1233.883356
HMS-Beagle_POL,-127328.4757,-110187.1529,34282.64578
HMS-Beagle2_POL,-97964.95605,-84754.71383,26420.48443
Idefix_POL,-75878.00493,-65163.80672,21428.39642
invader3_POL,-80052.32643,-70910.68281,18283.28723
invader6_POL,-73209.55207,-65551.43048,15316.24317
McClintock_POL,-6762.628098,-6435.306066,654.644064
micropia_POL,-38181.86017,-34679.49053,7004.739282
Quasimodo_POL,-116539.9815,-100946.1121,31187.73881
rover_POL,-30506.78698,-27017.86799,6977.837986
Shellder_POL,-31294.18382,-27765.43464,7057.49837
Souslik_POL,-73670.45719,-65836.04608,15668.82222
springer_POL,-47711.38436,-41897.04952,11628.66968
Stalker_POL,-56867.5796,-51598.84861,10537.46197
Stalker2_POL,-7290.517827,-6975.915668,629.204318
Stalker4_POL,-40479.76547,-36732.17202,7495.186908
Tabor_POL,-10991.57702,-10275.87304,1431.407946
Tirant_POL,-30385.42249,-27162.67743,6445.490124
ZAM_POL,-46066.25669,-41477.7485,9177.016388
412_sORF2,-14406.20474,-13537.38211,1737.645268
blood_sORF2,-2917.775217,-2787.062118,261.426198
mdg1_sORF2,-4663.012853,-4483.007355,360.010996
Stalker_sORF2,-7336.090343,-6956.59007,759.000546
Stalker4_sORF2,-6159.145558,-5872.917882,572.455352
Tabor_sORF2,-1197.402783,-1161.559776,71.686014
